"Date","Price","Open","High","Low","Vol.","Change %"
"May 15","96.986","94.940","97.880","93.155","1.00M","2.40%"
"Apr 15","94.714","98.730","100.270","94.470","1.15M","-4.00%"
"Mar 15","98.661","95.375","100.380","94.765","1.23M","3.50%"
"Feb 15","95.321","94.905","95.440","93.385","647.34K","0.34%"
"Jan 15","94.998","90.810","95.850","90.800","933.32K","4.80%"
"Dec 14","90.647","88.370","90.665","87.805","758.68K","2.53%"
"Nov 14","88.413","87.130","88.515","86.975","717.09K","1.61%"
"Oct 14","87.016","86.050","87.245","84.525","938.40K","1.13%"
"Sep 14","86.047","82.780","86.335","82.695","686.68K","3.94%"
"Aug 14","82.783","81.530","82.790","81.265","434.38K","1.55%"
"Jul 14","81.523","79.840","81.660","79.770","388.36K","2.15%"
"Jun 14","79.811","80.405","81.065","79.800","410.87K","-0.74%"
"May 14","80.404","79.570","80.630","78.930","354.14K","1.10%"
"Apr 14","79.532","80.255","80.770","79.385","319.79K","-0.90%"
"Mar 14","80.254","79.855","80.575","79.275","420.41K","0.67%"
"Feb 14","79.720","81.385","81.420","79.700","377.95K","-2.07%"
"Jan 14","81.403","80.430","81.525","80.220","496.85K","1.51%"
"Dec 13","80.189","80.685","81.015","79.500","392.46K","-0.58%"
"Nov 13","80.657","80.330","81.580","80.320","403.31K","0.49%"
"Oct 13","80.263","80.350","80.865","79.060","402.39K","-0.07%"
"Sep 13","80.323","82.120","82.780","80.115","510.73K","-2.21%"
"Aug 13","82.142","81.760","82.610","80.770","673.43K","0.74%"
"Jul 13","81.539","83.410","84.965","81.480","790.94K","-2.20%"
"Jun 13","83.376","83.355","83.595","80.505","903.74K","-0.03%"
"May 13","83.401","81.740","84.595","81.370","878.96K","1.95%"
"Apr 13","81.807","83.175","83.660","81.640","618.75K","-1.64%"
"Mar 13","83.175","82.010","83.520","81.830","556.18K","1.43%"
"Feb 13","82.003","79.140","82.075","78.915","641.62K","3.51%"
"Jan 13","79.226","79.620","80.995","79.160","579.50K","-0.81%"
"Dec 12","79.871","80.195","80.975","79.015","396.45K","-0.36%"
"Nov 12","80.163","79.990","81.515","79.925","431.74K","0.22%"
"Oct 12","79.987","80.045","80.425","78.970","395.86K","-0.05%"
"Sep 12","80.025","81.210","81.675","78.600","384.62K","-1.47%"
"Aug 12","81.216","82.780","83.610","80.960","414.15K","-1.81%"
"Jul 12","82.710","81.730","84.245","81.655","449.02K","1.17%"
"Jun 12","81.753","83.210","83.670","81.225","628.71K","-1.66%"
"May 12","83.129","78.875","83.295","78.665","669.29K","5.43%"
"Apr 12","78.848","79.035","80.365","78.685","390.03K","-0.37%"
"Mar 12","79.138","78.800","80.725","78.690","506.53K","0.44%"
"Feb 12","78.794","79.480","80.240","78.120","553.78K","-0.78%"
"Jan 12","79.417","80.155","82.045","78.855","425.71K","-1.37%"
